track_name,artist_name,album_name,duration_s,release_date,popularity,explicit,track_id,artist_id,artist_popularity,followers,genres,colab
911 (Remix),"Sech, JHAYCO",911 (Remix),208.631,2021-07-09,70,True,27RSJHEA99Y0Vsow7nA37A,77ziqFxp5gaInVrF2lj4ht,81,12078899,"reggaeton, urbano latino",True
Rap Bruto,"Residente, Nach",Rap Bruto,361.18,2018-10-05,59,True,5UB4pyeyR7d4LLJfVN4Kis,5GcWBUX00IPuWVGMIRK1sS,63,1553717,latin hip hop,True
Baila Conmigo (with Rauw Alejandro),"Selena Gomez, Rauw Alejandro",Revelación - EP,186.087,2021-03-12,68,False,079Ey5uxL04AKPQgVQwx5h,0C8ZW7ezQVs4URX5aX7Kqx,88,52397970,pop,True
Intenciones,Dalex,Unisex,177.583,2021-11-04,41,True,3JG54k74wEMxq8VaVEu2MC,0KPX4Ucy9dk82uj4GpKesn,77,5055159,reggaeton,False
Otro Level,Zeuss 是,Otro Level,122.055,2023-03-21,0,False,43bfyPggtSHsrVqQWntlUr,4YnGucTisf2YIULDATbKKu,0,1914,,False
INTRO (a-Dios),Recycled J,SAN JORGE,83.811,2025-01-31,48,False,4ThYZ90q69mBKl7il0Qz43,4bWHA8fMNjzfGPQqnh5D6y,65,244285,,False
Bandida,Ronald El Killa,La Invasion,224.522,2015-12-18,0,False,7HRcz79arAMFMiN13zTW72,2jE5NeCBZpgohvRLtQ6v0O,46,55625,reggaeton,False
Ahora Y Siempre,"Quevedo, Linton",Ahora Y Siempre,149.275,2021-12-11,1,False,1AhNxunSSizAllibrQ7jhu,52iwsT98xCoGgiGntTiR7K,84,5845279,,True
POR AHÍ,"Cauty, Kiko el Crazy","CAUTYVERIO ""MIXTAPE""",188.0,2020-11-06,11,False,0LIkEJQ9fj2VrNg4HUkg1J,2QUvtLq6oQaX0LNsYY2fas,57,1049733,"reggaeton, urbano latino",True
Eres Mi Todo,"KAROL G, KEVIN ROLDAN",Eres Mi Todo,187.373,2017-07-07,28,False,0sdE7qQSDakjcGLCsh4ufR,790FomKkXshlbRYZFtlgla,89,56248666,"reggaeton, latin, urbano latino",True
Aquafina,"Yeruza, Eladio Carrion, Brray",Aquafina,207.447,2021-08-26,29,True,5FdAFBdOSOhCi5S31hntpX,6NyPX5jymkvSPaJhCh1crb,53,215873,trap latino,True
Calentón,"Omy de Oro, Foreign Teck",Calentón,128.371,2022-05-20,28,True,1IVUBHo1L9YNK2VH8Lmndb,65jIUih0ZeTUJhSTRuYxpi,54,374168,"trap latino, urbano latino",True
Podemos Repetirlo,"Don Omar, Chencho Corleone",Podemos Repetirlo,211.707,2023-05-25,56,False,0If7xxzqs7Dv1SSO2MFKXF,33ScadVnbm2X8kkUqOkC6Z,86,14489038,"reggaeton, urbano latino",True
El Mundo,Ocer y Rade,El Mundo,198.75,2022-01-28,0,False,1w5opasYD9Kw6CGSRiRhKV,0fgRCULXpG4okFdlpat4e3,49,246512,,False
UFFF,"KEVIN ROLDAN, Bryant Myers",UFFF,254.426,2023-04-07,41,True,1QX030xITUJlE8yPKRnQHP,1RBzGO6Nm3uyhUSxP7EDWO,72,5631797,"reggaeton, trap latino, urbano latino",True
Energía,Hard GZ,Kaos Nomada,216.591,2018-07-27,25,True,2GhtDd5RJVFj62XA3ZsnmY,79N4S7UXdjo2fAh3OHJQuB,63,344227,,False
Todo De Ti,Rauw Alejandro,VICE VERSA,199.604,2021-12-10,82,True,3rdAz1fbUfZxYgaCviYhRo,1mcTU81TzQhprhouKaTkpq,92,28078773,"reggaeton, urbano latino, trap latino, latin",False
Química,"Juancho Marqués, Gabriel Fernández",Cierre,224.666,2018-06-22,0,False,6hl11GjnzYXymKJLWdt8P2,5JcO3FHEBbWTQMUHmWtU2g,50,154699,,True
YO AK,"Feid, Jhay P",FERXXOCALIPSIS,205.066,2023-12-01,66,True,5ktB9kTVHGFSMdJ2G0WdhN,2LRoIwlKmHjgvigdNGBHNo,90,17038869,"reggaeton, urbano latino",True
Babysita </3,Alvaro Diaz,Felicilandia,281.88,2021-10-29,69,False,0TzPApPjiPWXv98qSCrgbp,5J7rXWjtn5HzUkJ4Jet8Fr,78,1259228,,False
Contigo,Ernes H,Contigo,179.0,2020-08-20,40,True,5pmduwVNdEVqim8LXkKLfY,5XHkcpUgNtwdvIpySFqZke,34,50670,,False
Apaga Las Luces,JHAYCO,Famouz,217.24,2019-05-24,0,False,1r2peZx5YzxlNXJOxqaCDc,6nVcHLIgY5pE2YCl8ubca1,83,8683507,"reggaeton, trap latino, urbano latino",False
Callao,"Wisin & Yandel, Ozuna","Los Campeones del Pueblo ""The Big Leagues""",219.946,2018-12-14,48,False,3gu0fRSgFuc4FmrtIv0DnC,1wZtkThiXbVNtj6hee6dz9,82,8430003,"reggaeton, urbano latino",True
Fxck Remix,"Jon Z, Luar La L",FXCK Remix,245.446,2023-01-12,42,True,2Jll95vwNEnHnFkfg9bteA,5bWUlnPx9OYKsLiUJrhCA1,73,6728055,"trap latino, trap, dembow",True
28 De Diciembre,EZVIT 810,28 De Diciembre,162.005,2021-01-12,0,True,4BBphnb5XEIoegKvHCOffK,20taoPw3DvVajnkUySMckx,49,126489,,False
Amantes y Amigos,"Arcángel, Sech",Amantes y Amigos,182.626,2020-10-02,49,True,1UHcnP31sAKOJFrEnyRNUz,4SsVbpTthjScTS7U2hmr1X,84,16853491,"reggaeton, trap latino, urbano latino",True
Rosa,J Balvin,Colores,189.826,2020-03-19,60,False,464uJVLmr0fDJGXOnciaDe,1vyhD5VmyZ7KMfW5gqLgo5,89,38211105,"reggaeton, latin",False
Tanta Falta,Bryant Myers,Tanta Falta,181.093,2018-10-10,66,False,6H8vwKQzKhw0oAgRPZsQge,6w9ToX5slZ4uIdmD17hJ3c,84,12527556,"trap latino, reggaeton, trap, urbano latino, dembow",False
Candy,Plan B,Love And Sex,207.626,2014-08-25,74,False,2ctjDCCg1wHoQSjIJ8p6U4,2jSGzJw0ebJLu7OLVSOcBP,80,5865372,reggaeton,False
Te Guste,"Jennifer Lopez, Bad Bunny",Te Guste,222.786,2018-11-09,56,False,0ifLplTQxXkFZKMQpWCHii,2DlGxzQSjYe5N6G9nkYghR,78,13538331,,True
Sabanas Mojadas,Justin Quiles,Realidad,188.863,2019-05-31,39,False,5lfKeSM4k3GT4ZYWcD2Pzf,14zUHaJZo1mnYtn6IBRaRP,78,4877172,reggaeton,False
De Paseo,"SOG, Maikel Delacalle",De Paseo,172.656,2024-01-26,23,True,0B29LH1QDzgMHSqkfnoGys,18dspUI6gqabm5XCC2RcUD,70,220353,reggaeton,True
Buenas,"Quevedo, SAIKO",Buenas,192.954,2023-09-22,69,False,4sDpxaulErbJ9NBaJDC7cJ,52iwsT98xCoGgiGntTiR7K,84,5845279,,True
Mai Mai (feat. Ñengo Flow & Jory Boy),"Maluma, Ñengo Flow, Jory Boy",PAPI JUANCHO,237.655,2020-08-21,53,False,3Mje1Tsr45PnoS42Tsddo7,1r4hJ1h58CWwUQe3MxPuau,87,36709528,"reggaeton, latin, urbano latino",True
DE CAROLINA,"Rauw Alejandro, Playero",SATURNO,181.621,2023-01-24,72,True,6J3kt4eAqRffh5lBuHJJSO,1mcTU81TzQhprhouKaTkpq,92,28078773,"reggaeton, urbano latino, trap latino, latin",True
Culpables los Dos,"Wisin & Yandel, Ozuna",La Última Misión,204.108,2022-09-30,0,False,05RYeSfAM4kpxad1GpAes2,1wZtkThiXbVNtj6hee6dz9,82,8430003,"reggaeton, urbano latino",True
Downtown,"Anitta, J Balvin",Downtown,193.456,2017-11-19,79,False,3Ga6eKrUFf12ouh9Yw3v2D,7FNnA9vBm6EKceENgCGRMb,83,13103136,"brazilian pop, funk pop, funk carioca, funk, pagode baiano",True
Malvada,J Balvin,Energía,178.573,2016-06-24,43,False,6U4rPgbVcztrq32JCfRRuJ,1vyhD5VmyZ7KMfW5gqLgo5,89,38211105,"reggaeton, latin",False
Imperio,"Duki, Judeline",AMERI,168.711,2024-10-31,69,True,63rRgkllF0FDeZ9fpOkFKl,1bAftSH8umNcGZ0uyV7LMg,84,12497755,"argentine trap, trap, trap latino",True
Adan y Eva,Paulo Londra,Adan y Eva,258.638,2018-11-05,66,False,6FyRXC8tJUh863JCkyWqtk,3vQ0GE3mI0dAaxIMYe5g7z,78,25373438,"argentine trap, trap latino, reggaeton",False
FANTASMA | AVC,"Tainy, JHAYCO",FANTASMA | AVC,285.074,2023-06-01,60,False,7fsQJ46vwtDi5p9DzeRDzB,0GM7qgcRCORpGnfcN2tCiB,80,2735272,reggaeton,True
Cuánto Falta,Delaossa,La Madrugá,302.769,2025-03-20,64,False,5ZqWtkYdS5k25lHy3RZGw3,5Uox3n7m4W2CoM9MmHPJwQ,73,336491,,False
Decian - Mashup,Saigo,Decian (Mashup),238.029,2022-04-30,0,False,3dIHuYxix0UuV0YbHJgCnL,4RAYYG4VK6BOZSrt5VtSB0,43,63509,argentine trap,False
Ganas,El Clooy,Ganas,210.321,2021-11-03,14,False,2sH6VC2pFRWHiJVHB7bHhc,2iBSDwlk9bvp1aKT4ubGoC,54,50017,,False
Mala Y Bouge (feat. Jaguarclaw),"Yung Beef, Jaguarclaw",Mala Y Bouge (feat. Jaguarclaw),166.28,2019-05-10,27,True,25lRMqKsudS8WDwup5Xjug,1rTUwYS38LkQTlT2fhikch,69,618711,neoperreo,True
Ya Ni Se,"Ovi, Noriel, Aleman",Ya Ni Se,218.231,2022-04-14,45,True,3nYidPkFJrmIAhi5Bwobs8,4o0NtnL2m0lzZmEdRas1qv,70,1386700,"corridos tumbados, corrido, sad sierreño, trap latino, corridos bélicos, urbano latino",True
Nuestro Destino (feat. Seijas) - Capítulo V,"Mayo 214, Dirty Porko, Blues Proders, Seijas",Nuestro Destino (feat. Seijas) [Capítulo V],200.063,2022-12-09,24,False,5tmqzGXTpLXqyXokdleA4R,7uXKIO6VDeOCo6ImWZpZJn,49,96703,,True
Arca 10Mil,"Arcángel, Feid","Sentimiento, Elegancia y Más Maldad",180.645,2023-11-17,57,True,6IdupWnwKGBahydZnrA3zV,4SsVbpTthjScTS7U2hmr1X,84,16853491,"reggaeton, trap latino, urbano latino",True
Otra vez (feat. J Balvin),"Zion & Lennox, J Balvin",Otra Vez (feat. J Balvin),209.453,2016-08-05,59,False,7pk3EpFtmsOdj8iUhjmeCM,21451j1KhjAiaYKflxBjr1,77,8043705,"reggaeton, latin",True
Tocándote,Anuel AA,Emmanuel,230.945,2020-05-29,51,True,2L6YJ2mSyqStxQX4OjUOon,2R21vXR83lH98kGeO99Y66,89,41728732,"reggaeton, trap latino, urbano latino, latin",False
LOS MUERTOS Y LAS FLORES,"Recycled J, Selecta",CASANOVA DELUXE,174.124,2023-06-02,22,False,1cwMMJ2JUx5qztxWkPAIGm,4bWHA8fMNjzfGPQqnh5D6y,65,244285,,True
ES COMO FAK,"GRECAS, JCC",ES COMO FAK,139.361,2023-11-02,68,True,5sUbra1c8ZDnD9chdM4cUf,3DhrvmXFJs6QKCSafoPhl4,68,164287,,True
Que Tengo Que Hacer,"Lary Over, Farruko",Que Tengo Que Hacer,270.68,2017-06-23,0,True,69M7ZcGR8iI57HNOD3bvxM,1jSjfSgDjedJdi5MoyRu78,68,5457704,"trap latino, trap, dembow, reggaeton",True
Negro,J Balvin,Colores,182.093,2020-03-19,63,False,2hsA9YWuF3C9Gosi4dpjJN,1vyhD5VmyZ7KMfW5gqLgo5,89,38211105,"reggaeton, latin",False
Me Han Hablau de Ti (feat. Miky Woodz),"Bryant Myers, Miky Woodz",Me Han Hablau de Ti (feat. Miky Woodz),259.848,2018-03-09,0,True,0eQLN2RwIxtMdJkpOBuCVv,6w9ToX5slZ4uIdmD17hJ3c,84,12527556,"trap latino, reggaeton, trap, urbano latino, dembow",True
SACA Y PON,Ankhal,ANTI JUDAS RELOADED,185.88,2021-12-10,49,True,3MPpKms5lIjULfNzZlcD32,6NmMI7UnfmIpLRYoz8H9jm,58,386921,"trap latino, urbano latino",False
La Despedida,Daddy Yankee,Daddy Yankee Mundial,202.826,2010-04-26,1,False,44f68Zu5X9gJ44ziVnaYoR,4VMYDCV2IEDYJArk749S6m,88,36965039,"reggaeton, latin",False
Desabúrreme,"Cris Moné, Pole.",Desabúrreme,198.6,2020-04-10,25,False,2mTZcHeIHuZh3Z9MkAwt4w,5Exvb6CXfgIb7sYwvzO7pS,34,38511,,True
Vuelve,"Anier, Deeperbeats",Vuelve,190.589,2022-11-16,0,True,7boe9pmfM5LCdqTlLR8E7b,29WHGHkCIlASkOrbKKyvcS,35,127940,,True
JOVEN PARA SIEMPRE,Funzo & Baby Loud,JOVEN PARA SIEMPRE,169.374,2021-03-05,50,False,2hSBhzE4hbWRWl4PLMiJsu,1nwjHzOUQZsNYX8xoWiGVC,57,252744,,False
Lejos,Mabbi,Lejos,163.514,2020-03-20,0,False,32KP5Fk4gC0EzZb2E3JPJX,0jFtHVgRe17oRr4WtqJbAP,38,10699,,False
Contradicción,"Justin Quiles, Sech",La Última Promesa,205.34,2021-08-19,49,True,2yO85myibeiCU3kEcgujgA,14zUHaJZo1mnYtn6IBRaRP,78,4877172,reggaeton,True
Me Enamoré de una Fan,Marc Seguí,Pinta y Colorea,205.104,2021-11-26,25,False,64ONopMhztB9fIQ113AiYx,5FQ8tBUtIamA2hRtatrYUF,68,202938,,False
Sudores fríos,"Natos y Waor, Recycled J","Hijos de la ruina, vol. 3",275.878,2021-04-13,0,True,3fTPnf1cNtC8k6nrT0j9wm,1QJbbsxg2wqidJj51d3otw,65,859707,,True
Bebí Demasiao,"Javiielo, Jay Wheeler, Brytiago",Bebí Demasiao,254.042,2022-09-30,40,True,64WN6oINxJli6h2jgYZC3W,3HH6yOn1yJNZo3RY5zEfy5,58,394299,"rkt, reggaeton",True
THE FRENCH,"Reality, KYR4",THE FRENCH,251.428,2022-12-16,44,True,79rFmZ51tiJZjO7OngRk5v,0FvRr7kKHIwQJxpRwf5OCw,54,83873,,True
El Ganador,Nicky Jam,Fénix,199.893,2017-01-20,51,False,4Luzip43JUNRDJJR7l8bdb,1SupJlEpv7RS2tPNRaHViT,83,19762485,"reggaeton, latin",False
Mi Casi Algo,"Javiielo, Nekxum",Mi Casi Algo,180.0,2022-05-04,33,False,793wgtFYRGoX5rXmfUWijt,3HH6yOn1yJNZo3RY5zEfy5,58,394299,"rkt, reggaeton",True
Reloj de Arena,"Matasvandals, TTM Prod, Mauri",Reloj de Arena,164.181,2022-03-18,0,True,5BFAWTj8zTmYLlZgg9GYPf,77WwIwmDkRo6Frks1A89KM,47,87306,,True
Como Camarón,Estopa,Estopa,202.026,1999-10-18,70,False,1VB4sadHjFcFklHcZuoROi,5ZqnEfVdEGmoPxtELhN7ai,71,2291991,"flamenco, flamenco pop",False
Solo Sé Caer De Pie,"Lone, Juancho Marqués, Brawler, Bombony Montana",Solo Sé Caer De Pie,264.269,2021-11-04,30,True,0h2BFZQblv7kptu4DQFxa6,6BXIlak4jRVd5lz79hC4nM,32,7410,,True
Falsas Mentiras (feat. Ozuna),"Los De La Nazza, Ozuna",Orion,269.662,2015-08-28,62,False,36JI0KHc591i9liHaFqDFG,7sQc4ugqcqoLJPnznIE2jm,53,487961,reggaeton,True
Travesuras - Remix,"Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie",Travesuras (Remix),324.426,2021-03-11,63,True,0VWLId2RwPCno9s1cJm2Vy,5hdhHgpxyniooUiQVaPxQ0,70,5451171,"reggaeton, trap latino",True
Esperanza,Ocer y Rade,Esperanza,261.0,2015-04-09,0,False,7j7jc8CCsKGHanGDYpI9G1,0fgRCULXpG4okFdlpat4e3,49,246512,,False
Camarón,Natos y Waor,Martes 13,133.333,2015-10-12,0,True,6EGrWlL3IY7HnabhBaZcRR,1QJbbsxg2wqidJj51d3otw,65,859707,,False
MOJABI GHOST,"Tainy, Bad Bunny",DATA,232.131,2023-06-29,83,True,46YjJXVXWHlQ21odKktg5e,0GM7qgcRCORpGnfcN2tCiB,80,2735272,reggaeton,True
Adicto,Justin Quiles,La Promesa,221.984,2017-03-10,50,False,7bLAWkcdi2LlO4Rf8tqA8Q,14zUHaJZo1mnYtn6IBRaRP,78,4877172,reggaeton,False
Promiscuidad,Natos y Waor,Martes 13,189.333,2015-10-12,0,True,2Hu521YQNROLGSi1anmYD7,1QJbbsxg2wqidJj51d3otw,65,859707,,False
X Dentro,"Delgao, Enol",X Dentro,193.346,2021-02-26,0,True,1zv2i0JuajMfVVoAoaOjEW,2V10Oq2sAheIVDSeW9QyFN,46,24455,,True
Jjjj,"Hoke, Louis Amoeba, Cruz Cafuné",BBO,207.313,2022-09-15,57,False,1fyCvJYDqc6ieWbvf0k1Vy,2x6kZekpNZMll7Uq3M6ar5,62,91379,,True
La Super Chapiadora (Remix) [feat. J King & De la Ghetto],"Jowell & Randy, J King, De La Ghetto",La Super Chapiadora (Remix),262.146,2015-08-21,0,False,5XOstrokznSLNZtDomATss,4IMAo2UQchVFyPH24PAjUs,72,4444228,"reggaeton, urbano latino",True
Trendy,"Rvfv, Lola Indigo",Trendy,183.564,2020-07-24,38,False,6KS9MjBx9PnEetb0XUqGv6,2CCgb0KApjfQDuTppovpf8,74,876090,"flamenco urbano, flamenco",True
El Coleta,Morad,El Coleta,200.314,2021-01-15,51,False,1Ai0VUsWP5jiIcfzaWJtKH,4az97MtWmBQ5Db3GfDh9j9,81,4104389,,False
No Se Nada,Lenny Tavárez,No Se Nada,215.0,2017-09-08,39,True,6vKQF8aILu5JgdxXQIatAE,1pQWsZQehhS4wavwh7Fnxd,79,3311757,"reggaeton, urbano latino, trap latino, argentine trap",False
La Mentira - Remix,"Brytiago, Rafa Pabön, Sech, Myke Towers, Cazzu, Rauw Alejandro",La Mentira (Remix),388.8,2019-05-17,29,False,4jBpZsZ9qx3cZhoEfuKElF,00XhexlJEXQstHimpZN910,77,7362032,"trap latino, reggaeton, urbano latino, trap",True
MIB,Myke Towers,Easy Money Baby,134.013,2020-01-24,69,True,7z9chavxReUpyOZoAkUnUb,7iK8PXO48WeuP03g8YR51W,89,19741849,"reggaeton, trap latino, urbano latino",False
Culpables,"Original Elias, Bandaga, Moncho Chavea",Culpables,181.999,2019-01-31,31,False,5zJNJoTObXCKta1hs3o2Zh,3KDXaImaYfNcLfhUKCrkBS,49,95113,"flamenco, flamenco urbano, flamenco pop",True
Miko,Hades66,Miko,135.013,2023-04-11,39,True,0ITEio7vNOlNQrGv0eTaRH,4CQdcx66F116k2db2Y0rjE,77,1320358,trap latino,False
BEBIENDO,NUEVA MUSICA DISCO RECORDS,LQNS 3,159.799,2020-10-17,0,True,2j59TrXD1ZuB36U0hSpEge,7FZucX61cfOaKo8StCQ1kR,0,1847,,False
La Single,"Ozuna, Juanka, Brray",La Single,276.066,2023-03-28,44,True,7dAwKpgHeKrxPJ2aygL97o,1i8SpTcr7yvPOmcqrbnVXY,88,38422640,"reggaeton, trap latino, latin, urbano latino",True
Alone,"Franky Style, C.R.O",V Anillos,164.589,2022-07-25,40,True,1mE2bZJUfMqjs8q728s75G,1cLDC1abeY1jIY5AX2Rtbx,63,508395,"argentine trap, trap",True
Ayer (feat. Lía Kali),"Hard GZ, Denom, Lupita's Friends, Lia Kali",Ayer (feat. Lía Kali),265.218,2021-03-26,0,False,3TqKXQsdNYeQ3eoSSpD49c,79N4S7UXdjo2fAh3OHJQuB,63,344227,,True
"La Llamada (feat. Darkiel, Almighty, Brytiago & Bryant Myers) - Remix","Trap Capos, Noriel, Darkiel, Almighty, Brytiago, Bryant Myers",Trap Capos: Season 1,369.266,2016-10-07,66,True,5PnE0HnlvXl3Pv7hop2FBE,2pQAUIesBqfT87PaM1ijtk,72,1514908,"trap latino, trap",True
Serpientes,"Lupita's Friends, Lil GZ, Hard GZ",Serpientes,256.619,2020-02-11,25,True,57I2WmFkLAWpWQNwp3o0ZY,7gGKjAXKRyDUhSUhFDIaAW,54,10476,,True
Maldade$,Cazzu,Maldade$,195.015,2017-04-28,28,False,29oDRWyM4tpVwKpgYd3oUc,6w3SkAHYPsQ1bxV7VDlG5y,79,7666402,"argentine trap, trap latino, turreo",False
Palos de ciego,Natos y Waor,Mal de amores,221.931,2024-02-13,45,False,0b12az3cPlSsTgiS5eD88n,1QJbbsxg2wqidJj51d3otw,65,859707,,False
VOY A LLeVARTE PA PR,Bad Bunny,DeBÍ TiRAR MáS FOToS,156.364,2025-01-05,93,True,59D4DOkspUbWyMmbAPQkxZ,4q3ewBCX7sLwd24euuV69X,100,94364002,"reggaeton, trap latino, urbano latino, latin",False
Asi Eh - Remix,"Miky Woodz, Tainy, Chencho Corleone, Darell",Asi Eh (Remix),234.533,2020-09-24,49,True,5yyxjJEMqSyCySMM9MAoJI,1pf0MPKfKdvS8J779mS1Ay,71,4463939,"trap latino, dembow, reggaeton, trap",True
Cuerpo en Venta,"Noriel, Myke Towers, Rauw Alejandro, Almighty",Cuerpo en Venta,254.413,2019-08-09,65,False,2B94bbI1a4LyBpK1439oP7,3RtNN1VnooWEn3KQk03DUL,79,8418844,"trap latino, dembow, reggaeton, trap",True
JOLLY,Lyanno,JOLLY,141.6,2022-12-15,34,True,4zLDlBGWfXrjj9o9eWXQ8G,1Ts9of7VPZElwPQnqnDSfW,75,1706282,"reggaeton, trap latino, urbano latino",False
Peligrando,Jay Wheeler,Emociones,168.503,2022-08-19,44,True,7yEClZTRRN1Ti4YfMkyOkG,2cPqdH7XMvwaBJEVjheH8g,79,4649701,reggaeton,False
Incorregible,Mayo 214,Incorregible,192.47,2019-04-07,0,True,0dsuyjgFhMzGTWRWcUvTpa,7uXKIO6VDeOCo6ImWZpZJn,49,96703,,False
La Suzi,"Ozuna, Nesi",OzuTochi,155.933,2022-10-07,38,False,7Hr9ke37qeKfCajWSZ4iet,1i8SpTcr7yvPOmcqrbnVXY,88,38422640,"reggaeton, trap latino, latin, urbano latino",True
CHORRITO PA LAS ANIMAS,Feid,SIXDO,168.133,2022-12-02,78,True,0CYTGMBYkwUxrj1MWDLrC5,2LRoIwlKmHjgvigdNGBHNo,90,17038869,"reggaeton, urbano latino",False
A Güiro,Rafa Pabön,A Güiro,163.25,2020-04-23,49,False,4hgIsfE3u7duCJFYXm6kZe,11YLRSsZA3YVuQQtHXKTlz,68,348653,reggaeton,False
Vamos a Vernos,"Bryant Myers, Jon Z, Gigolo Y La Exce",Vamos a Vernos,264.48,2018-04-27,0,True,2FVouWx5omKDF6Ka2l3nXF,6w9ToX5slZ4uIdmD17hJ3c,84,12527556,"trap latino, reggaeton, trap, urbano latino, dembow",True
Tu Me Enamoraste - Remix,"Lary Over, Anuel AA, Bryant Myers, Almighty, Brytiago",Tu Me Enamoraste (Remix),341.134,2016-04-02,0,True,6tScMRwXM8QsLoUia3sKf3,1jSjfSgDjedJdi5MoyRu78,68,5457704,"trap latino, trap, dembow, reggaeton",True
Bum Bau,"Xander el Imaginario, Marvel Boy, Pacho El Antifeka, Alexio",Bum Bau,286.923,2019-01-30,20,True,65uXCNZwwQFUnIsrhIoGHB,6hRujZ5FENF3mlbknoLv3a,15,4004,,True
Sagitario (Mi Madre Me Va A Matar),Hens,Sagitario (Mi Madre Me Va A Matar),171.817,2022-03-02,40,False,2FUvrVJvsDB4GsNnXc8h3A,3iY9PS7LxPnCVcCP7BjJOK,53,106628,,False
Hustle hard,"Israel B, LOWLIGHT, Dano, Ill Pekeño",Mi propio peor enemigo,203.776,2024-11-27,45,True,6X2YJPC59xTAdR900klawX,16M8fuShcwX8uBDdmFZH9B,55,82608,,True
Guernica,"Shoren, YBG 210",Guernica,180.937,2022-11-04,16,False,4Y1pJR84cs9VOrjZGjfk8O,6MRCWn4BaMCrfxzseImRuN,40,22519,,True
Cosa Guapa,Rauw Alejandro,VICE VERSA,255.712,2021-12-10,76,True,7aWiJeMyxxPEyjwvZyauAF,1mcTU81TzQhprhouKaTkpq,92,28078773,"reggaeton, urbano latino, trap latino, latin",False
Mbappé - Remix,"Eladio Carrion, Future",3MEN2 KBRN,237.344,2023-03-17,55,True,1T6CF1qnG0hK0absyeVL5H,5XJDexmWFLWOkjOEjOVX3e,85,8649828,"trap latino, urbano latino, trap",True
"Zorra Enchufada, Vendido Cabrón","Porta, H0lynaight",Trastorno Bipolar,309.2,2009-01-01,35,True,1vU7wDlT3g9WKhUHBugTig,3p7Bs02UWDt5ENoJeUGqaB,62,2135193,,True
Dile,DELLAFUENTE,Ansia Viva,170.44,2016-12-09,0,False,49rIswXrklVLdR2yoJXn6d,4bJh7sMPcVRiqe5jlnsWQV,70,1124096,"flamenco urbano, flamenco",False
TU QUIERE BAILAR,"Lomiiel, Bb trickz",TU QUIERE BAILAR,123.25,2024-11-15,56,True,2E402UKUx9geWqtRpMj5oX,2rMFPjySMqkgBajkLKL6zo,70,299119,dembow,True
